9.648437500000000000e-01 1.213430538773536682e-01 9.823719263076782227e-01 5.153114348649978638e-02 6.203821420669555664e+00
9.882812500000000000e-01 5.459501966834068298e-02 9.867789149284362793e-01 4.155633226037025452e-02 1.555292367935180664e+00
9.804687500000000000e-01 4.790347442030906677e-02 9.864783883094787598e-01 4.412906244397163391e-02 1.549638032913208008e+00
9.804687500000000000e-01 5.608605965971946716e-02 9.876803159713745117e-01 3.925227373838424683e-02 1.548543930053710938e+00
9.882812500000000000e-01 2.822582423686981201e-02 9.870794415473937988e-01 4.015374183654785156e-02 1.554201602935791016e+00
9.921875000000000000e-01 2.585892751812934875e-02 9.891827106475830078e-01 4.213174432516098022e-02 1.550732612609863281e+00
9.804687500000000000e-01 6.791415810585021973e-02 9.879808425903320312e-01 4.218842834234237671e-02 1.558077335357666016e+00
9.765625000000000000e-01 6.755772233009338379e-02 9.888821840286254883e-01 3.909026831388473511e-02 1.570490598678588867e+00
9.843750000000000000e-01 4.653187096118927002e-02 9.896834492683410645e-01 3.436633944511413574e-02 1.550524711608886719e+00
9.882812500000000000e-01 3.768575191497802734e-02 9.888823032379150391e-01 4.083761200308799744e-02 1.550511121749877930e+00
9.804687500000000000e-01 6.313556432723999023e-02 9.887820482254028320e-01 3.826556354761123657e-02 1.548850774765014648e+00
9.921875000000000000e-01 4.091343283653259277e-02 9.895834922790527344e-01 3.768113255500793457e-02 1.550720453262329102e+00
9.648437500000000000e-01 1.318128854036331177e-01 9.876803159713745117e-01 4.591805115342140198e-02 1.551138162612915039e+00
9.882812500000000000e-01 7.807935774326324463e-02 9.888821840286254883e-01 4.718500003218650818e-02 1.552368640899658203e+00
9.882812500000000000e-01 6.936652958393096924e-02 9.892829656600952148e-01 3.738633170723915100e-02 1.552186012268066406e+00
9.843750000000000000e-01 3.727104142308235168e-02 9.887821674346923828e-01 5.322567373514175415e-02 1.555913686752319336e+00
